ProductID,Category,StockLevel,ReorderPoint,UnitPrice,SupplierID,WarehouseLocation,SafetyStock,LastRestockDate,ProductName,ProductImageURL
P0001,Sports,36,12,109.06,S020,West,11,2024-06-14 23:18:55.617758,Dumbbells,https://example.com/images/P0001.jpg
P0002,Electronics,4,22,94.63,S018,South,12,2024-01-02 23:18:55.617758,Laptop,https://example.com/images/P0002.jpg
P0003,Home Goods,33,15,125.42,S001,North,19,2024-03-21 23:18:55.617758,Candle,https://example.com/images/P0003.jpg
P0004,Sports,49,27,401.61,S009,North,24,2023-12-27 23:18:55.617758,Soccer Ball,https://example.com/images/P0004.jpg
P0005,Electronics,74,11,6.89,S023,West,19,2024-10-21 23:18:55.617758,Smartwatch,https://example.com/images/P0005.jpg
P0006,Health,44,43,24.71,S007,East,42,2024-10-23 23:18:55.617758,Thermometer,https://example.com/images/P0006.jpg
P0007,Food,65,35,168.58,S022,North,42,2024-10-22 23:18:55.617758,Pasta,https://example.com/images/P0007.jpg
P0008,Health,45,6,185.24,S004,North,20,2023-12-17 23:18:55.617758,Sanitizer,https://example.com/images/P0008.jpg
P0009,Clothing,55,8,417.74,S033,West,34,2024-03-11 23:18:55.617758,Jacket,https://example.com/images/P0009.jpg
P0010,Clothing,90,21,260.71,S034,West,34,2023-11-20 23:18:55.617758,Jacket,https://example.com/images/P0010.jpg
P0011,Home Goods,85,23,312.95,S018,West,57,2024-10-19 23:18:55.617758,Curtains,https://example.com/images/P0011.jpg
P0012,Home Goods,72,16,25.03,S008,South,10,2023-11-03 23:18:55.617758,Chair,https://example.com/images/P0012.jpg
P0013,Electronics,68,9,404.0,S024,West,31,2024-09-04 23:18:55.617758,Laptop,https://example.com/images/P0013.jpg
P0014,Home Goods,3,28,398.69,S015,West,58,2024-10-10 23:18:55.617758,Curtains,https://example.com/images/P0014.jpg
P0015,Sports,13,32,195.38,S023,South,46,2024-06-04 23:18:55.617758,Soccer Ball,https://example.com/images/P0015.jpg
P0016,Food,99,6,488.42,S017,North,16,2023-12-30 23:18:55.617758,Juice,https://example.com/images/P0016.jpg
P0017,Home Goods,63,43,43.5,S041,South,45,2024-05-06 23:18:55.617758,Lamp,https://example.com/images/P0017.jpg
P0018,Clothing,48,45,200.48,S010,East,36,2023-10-31 23:18:55.617758,Sunglasses,https://example.com/images/P0018.jpg
P0019,Food,18,19,43.43,S004,South,17,2024-10-13 23:18:55.617758,Pasta,https://example.com/images/P0019.jpg
P0020,Clothing,26,39,114.62,S016,South,11,2024-05-19 23:18:55.617758,T-Shirt,https://example.com/images/P0020.jpg
P0021,Home Goods,4,33,322.59,S039,South,43,2024-03-31 23:18:55.617758,Curtains,https://example.com/images/P0021.jpg
P0022,Health,41,32,153.38,S015,West,54,2024-02-02 23:18:55.617758,First Aid Kit,https://example.com/images/P0022.jpg
P0023,Health,41,14,144.49,S042,East,17,2023-12-25 23:18:55.617758,Sanitizer,https://example.com/images/P0023.jpg
P0024,Food,73,36,264.51,S022,West,13,2024-03-31 23:18:55.617758,Pasta,https://example.com/images/P0024.jpg
P0025,Home Goods,47,49,395.54,S035,South,53,2024-02-19 23:18:55.617758,Chair,https://example.com/images/P0025.jpg
