TransactionID,ProductID,Date,QuantitySold,SalePrice,SupplierID,DiscountApplied,CustomerType,DeliveryDays
T00001,P0243,2024-07-25 23:18:55.633751,3,178.58,S006,0.02,Retail,6
T00002,P0313,2023-12-26 23:18:55.633751,4,141.68,S030,0.25,E-commerce,4
T00003,P0986,2024-10-11 23:18:55.633751,19,465.21,S032,0.25,E-commerce,9
T00004,P0059,2024-03-17 23:18:55.633751,7,466.63,S017,0.04,Retail,6
T00005,P0200,2024-03-08 23:18:55.633751,1,423.75,S022,0.03,Retail,5
T00006,P0202,2024-07-14 23:18:55.633751,4,489.85,S029,0.23,E-commerce,6
T00007,P0026,2024-07-31 23:18:55.633751,3,364.45,S022,0.24,Wholesale,4
T00008,P0243,2024-09-09 23:18:55.633751,11,497.39,S009,0.01,Wholesale,1
T00009,P0524,2024-07-17 23:18:55.633751,17,84.1,S036,0.28,E-commerce,7
T00010,P0318,2024-08-28 23:18:55.633751,14,320.01,S012,0.05,Wholesale,9
T00011,P0710,2023-11-27 23:18:55.633751,14,117.56,S037,0.01,Wholesale,6
T00012,P0407,2023-11-13 23:18:55.633751,15,301.64,S011,0.19,Retail,4
T00013,P0667,2024-09-17 23:18:55.633751,14,121.04,S047,0.22,Wholesale,9
T00014,P0793,2023-12-10 23:18:55.633751,16,324.3,S036,0.03,Retail,2
T00015,P0355,2024-01-31 23:18:55.633751,2,160.81,S030,0.01,Retail,9
T00016,P0080,2024-01-19 23:18:55.633751,17,241.63,S037,0.21,Retail,1
T00017,P0184,2024-08-02 23:18:55.633751,13,131.32,S039,0.05,Wholesale,2
T00018,P0838,2024-06-21 23:18:55.633751,6,162.08,S049,0.03,E-commerce,7
T00019,P0959,2024-05-10 23:18:55.633751,18,258.05,S036,0.25,E-commerce,8
T00020,P0264,2024-06-06 23:18:55.633751,8,133.89,S040,0.15,E-commerce,9
T00021,P0109,2024-10-25 23:18:55.633751,16,161.16,S011,0.04,Retail,7
T00022,P0516,2024-01-08 23:18:55.633751,19,496.4,S049,0.14,Wholesale,3
T00023,P0893,2024-08-20 23:18:55.633751,6,28.82,S044,0.03,E-commerce,7
T00024,P0108,2024-02-01 23:18:55.633751,5,71.36,S044,0.12,E-commerce,3
T00025,P0827,2024-05-18 23:18:55.633751,13,229.91,S030,0.16,E-commerce,3
T00026,P0229,2024-01-22 23:18:55.633751,19,155.08,S023,0.16,Wholesale,1
T00027,P0652,2024-08-08 23:18:55.633751,12,228.07,S046,0.27,Retail,5
T00028,P0910,2024-09-22 23:18:55.633751,4,167.31,S032,0.26,Wholesale,2
T00029,P0947,2024-02-23 23:18:55.633751,13,363.75,S037,0.13,Wholesale,7
T00030,P0903,2024-07-17 23:18:55.633751,1,193.03,S035,0.01,Wholesale,1
T00031,P0673,2024-09-02 23:18:55.633751,6,402.78,S017,0.26,Retail,7
T00032,P0929,2024-07-22 23:18:55.633751,2,166.4,S041,0.13,Retail,4
T00033,P0131,2024-10-09 23:18:55.633751,1,314.61,S007,0.05,E-commerce,4
T00034,P0716,2024-07-27 23:18:55.633751,14,238.49,S039,0.12,Retail,6
T00035,P0973,2024-04-17 23:18:55.633751,8,191.13,S012,0.27,Wholesale,6
T00036,P0454,2024-08-22 23:18:55.633751,8,88.25,S043,0.03,Retail,9
T00037,P0718,2024-03-04 23:18:55.633751,13,483.21,S019,0.29,Wholesale,2
T00038,P0624,2024-04-23 23:18:55.633751,11,334.95,S029,0.11,E-commerce,8
T00039,P0960,2024-04-02 23:18:55.633751,5,100.57,S010,0.15,Wholesale,1
T00040,P0792,2023-12-08 23:18:55.633751,8,154.75,S021,0.27,Wholesale,5
T00041,P0403,2024-03-14 23:18:55.633751,18,21.25,S040,0.08,Retail,2
T00042,P0571,2024-09-09 23:18:55.633751,15,17.53,S031,0.12,E-commerce,6
T00043,P0872,2024-07-05 23:18:55.633751,18,473.88,S034,0.21,Retail,1
T00044,P0450,2024-08-28 23:18:55.633751,7,359.46,S031,0.07,Wholesale,3
T00045,P0128,2024-02-29 23:18:55.633751,6,129.13,S016,0.04,E-commerce,2
T00046,P0245,2024-06-08 23:18:55.633751,18,47.83,S016,0.11,Wholesale,4
T00047,P0598,2023-11-28 23:18:55.633751,7,109.04,S038,0.28,Retail,5
T00048,P0513,2024-08-17 23:18:55.633751,6,378.2,S006,0.12,Retail,8
T00049,P0035,2024-08-24 23:18:55.633751,15,441.91,S046,0.13,E-commerce,8
T00050,P0413,2023-11-15 23:18:55.633751,15,12.87,S031,0.16,E-commerce,4
T00051,P0444,2024-07-10 23:18:55.633751,10,121.66,S028,0.16,E-commerce,6
T00052,P0804,2024-01-14 23:18:55.633751,15,429.71,S004,0.25,E-commerce,5
T00053,P0518,2024-05-17 23:18:55.633751,13,102.57,S021,0.15,E-commerce,6
T00054,P0415,2024-05-01 23:18:55.633751,19,197.57,S038,0.01,Wholesale,2
T00055,P0193,2024-03-16 23:18:55.633751,2,291.98,S039,0.23,Wholesale,1
T00056,P0319,2024-09-18 23:18:55.633751,7,26.44,S032,0.24,E-commerce,5
T00057,P0740,2024-09-17 23:18:55.633751,10,85.04,S047,0.25,E-commerce,1
T00058,P0292,2024-07-25 23:18:55.633751,1,111.11,S002,0.1,Retail,4
T00059,P0813,2023-11-09 23:18:55.633751,3,290.4,S041,0.05,E-commerce,8
T00060,P0827,2024-05-26 23:18:55.633751,7,460.61,S018,0.15,Wholesale,2
T00061,P0549,2024-06-25 23:18:55.633751,14,298.07,S048,0.19,Retail,4
T00062,P0234,2024-08-30 23:18:55.633751,17,112.36,S044,0.28,Wholesale,3
T00063,P0445,2024-06-22 23:18:55.633751,15,465.38,S020,0.12,Retail,9
T00064,P0191,2023-11-22 23:18:55.633751,12,159.19,S033,0.06,Retail,6
